from,to
WOMEN/Blouses_Shirts/id_00001642/02_7_additional.jpg,WOMEN/Blouses_Shirts/id_00001642/02_7_additional.jpg
MEN/Pants/id_00007146/06_1_front.jpg,MEN/Pants/id_00007146/06_1_front.jpg
MEN/Tees_Tanks/id_00004530/18_4_full.jpg,MEN/Tees_Tanks/id_00004530/18_4_full.jpg
MEN/Shirts_Polos/id_00001985/01_4_full.jpg,MEN/Shirts_Polos/id_00001985/01_4_full.jpg
WOMEN/Blouses_Shirts/id_00002649/01_7_additional.jpg,WOMEN/Blouses_Shirts/id_00002649/01_7_additional.jpg
WOMEN/Blouses_Shirts/id_00001612/02_4_full.jpg,WOMEN/Blouses_Shirts/id_00001612/02_4_full.jpg
WOMEN/Blouses_Shirts/id_00000721/03_7_additional.jpg,WOMEN/Blouses_Shirts/id_00000721/03_7_additional.jpg
WOMEN/Blouses_Shirts/id_00003927/07_4_full.jpg,WOMEN/Blouses_Shirts/id_00003927/07_4_full.jpg
MEN/Pants/id_00001105/04_7_additional.jpg,MEN/Pants/id_00001105/04_7_additional.jpg
MEN/Pants/id_00002493/01_7_additional.jpg,MEN/Pants/id_00002493/01_7_additional.jpg
WOMEN/Blouses_Shirts/id_00003819/03_4_full.jpg,WOMEN/Blouses_Shirts/id_00003819/03_4_full.jpg
MEN/Shorts/id_00000697/06_1_front.jpg,MEN/Shorts/id_00000697/06_1_front.jpg
MEN/Tees_Tanks/id_00002692/12_7_additional.jpg,MEN/Tees_Tanks/id_00002692/12_7_additional.jpg
WOMEN/Blouses_Shirts/id_00003762/01_7_additional.jpg,WOMEN/Blouses_Shirts/id_00003762/01_7_additional.jpg
MEN/Sweatshirts_Hoodies/id_00005799/05_1_front.jpg,MEN/Sweatshirts_Hoodies/id_00005799/05_1_front.jpg
MEN/Tees_Tanks/id_00005834/08_7_additional.jpg,MEN/Tees_Tanks/id_00005834/08_7_additional.jpg
MEN/Shorts/id_00001012/01_7_additional.jpg,MEN/Shorts/id_00001012/01_7_additional.jpg
WOMEN/Blouses_Shirts/id_00003788/01_3_back.jpg,WOMEN/Blouses_Shirts/id_00003788/01_3_back.jpg
