from,to,multimodal,segm
MEN/Tees_Tanks/id_00004047/01_7_additional.jpg,MEN/Tees_Tanks/id_00004047/01_1_front.jpg,TRUE,FALSE
MEN/Tees_Tanks/id_00004047/01_7_additional.jpg,MEN/Tees_Tanks/id_00004047/01_4_full.jpg,TRUE,FALSE
MEN/Tees_Tanks/id_00004047/01_7_additional.jpg,MEN/Tees_Tanks/id_00004047/01_2_side.jpg,TRUE,FALSE
MEN/Tees_Tanks/id_00004047/01_7_additional.jpg,MEN/Tees_Tanks/id_00004047/01_3_back.jpg,TRUE,FALSE
MEN/Tees_Tanks/id_00004047/01_1_front.jpg,MEN/Tees_Tanks/id_00004047/01_7_additional.jpg,TRUE,TRUE
MEN/Tees_Tanks/id_00004047/01_1_front.jpg,MEN/Tees_Tanks/id_00004047/01_4_full.jpg,TRUE,FALSE
MEN/Tees_Tanks/id_00004047/01_1_front.jpg,MEN/Tees_Tanks/id_00004047/01_2_side.jpg,TRUE,FALSE
MEN/Tees_Tanks/id_00004047/01_1_front.jpg,MEN/Tees_Tanks/id_00004047/01_3_back.jpg,TRUE,FALSE
MEN/Tees_Tanks/id_00004047/01_4_full.jpg,MEN/Tees_Tanks/id_00004047/01_7_additional.jpg,TRUE,TRUE
MEN/Tees_Tanks/id_00004047/01_4_full.jpg,MEN/Tees_Tanks/id_00004047/01_1_front.jpg,TRUE,FALSE
MEN/Tees_Tanks/id_00004047/01_4_full.jpg,MEN/Tees_Tanks/id_00004047/01_2_side.jpg,TRUE,FALSE
MEN/Tees_Tanks/id_00004047/01_4_full.jpg,MEN/Tees_Tanks/id_00004047/01_3_back.jpg,TRUE,FALSE
MEN/Tees_Tanks/id_00004047/01_2_side.jpg,MEN/Tees_Tanks/id_00004047/01_7_additional.jpg,TRUE,TRUE
MEN/Tees_Tanks/id_00004047/01_2_side.jpg,MEN/Tees_Tanks/id_00004047/01_1_front.jpg,TRUE,FALSE
MEN/Tees_Tanks/id_00004047/01_2_side.jpg,MEN/Tees_Tanks/id_00004047/01_4_full.jpg,TRUE,FALSE
MEN/Tees_Tanks/id_00004047/01_2_side.jpg,MEN/Tees_Tanks/id_00004047/01_3_back.jpg,TRUE,FALSE
MEN/Tees_Tanks/id_00004047/01_3_back.jpg,MEN/Tees_Tanks/id_00004047/01_7_additional.jpg,TRUE,TRUE
MEN/Tees_Tanks/id_00004047/01_3_back.jpg,MEN/Tees_Tanks/id_00004047/01_1_front.jpg,TRUE,FALSE
